name,channel_id,ヒット数,既存と同名,URL
あかどらん,UCqRI7kmIlNEm1XgohNcVbAw,6,,https://www.youtube.com/channel/UCqRI7kmIlNEm1XgohNcVbAw
キスケGAME,UC0P3fkB03CTCfADNoKobFSw,4,,https://www.youtube.com/channel/UC0P3fkB03CTCfADNoKobFSw
深淵ヨミ,UCHvY0tir5VZ57MXUwi1AiFQ,4,,https://www.youtube.com/channel/UCHvY0tir5VZ57MXUwi1AiFQ
Ria,UCgv8U0W2hbT3JgO79PUjSug,3,,https://www.youtube.com/channel/UCgv8U0W2hbT3JgO79PUjSug
めし【アークナイツエンドフィールド】,UCqEqS1NYqg3TotvkFwUEX-w,3,,https://www.youtube.com/channel/UCqEqS1NYqg3TotvkFwUEX-w
あまくだりアークナイツ,UCnvHDvBQDIUlacHyI_6tPcQ,3,,https://www.youtube.com/channel/UCnvHDvBQDIUlacHyI_6tPcQ
抹茶のゲーム実況チャンネル,UCJxyFMuK-BKgwqGVNM9fR4w,2,,https://www.youtube.com/channel/UCJxyFMuK-BKgwqGVNM9fR4w
Rai10.090,UCXzerFLMijyN5sfxQS_RioQ,2,,https://www.youtube.com/channel/UCXzerFLMijyN5sfxQS_RioQ
くんたま,UCcTo8RS-SEV09v-xzr1eM2w,2,,https://www.youtube.com/channel/UCcTo8RS-SEV09v-xzr1eM2w
やまにぃ,UCw2-ggsnjCeo8c4wAkGuJAQ,2,,https://www.youtube.com/channel/UCw2-ggsnjCeo8c4wAkGuJAQ
アークナイツ：エンドフィールド,UCGVCAOZvDH7_fmuRVxkusFQ,2,,https://www.youtube.com/channel/UCGVCAOZvDH7_fmuRVxkusFQ
式神やしろ,UCq9rSqjG8XfiThojgjCpVqw,2,,https://www.youtube.com/channel/UCq9rSqjG8XfiThojgjCpVqw
またギリ,UCdL6BRZFcpvA3hbGftdWWHw,1,,https://www.youtube.com/channel/UCdL6BRZFcpvA3hbGftdWWHw
児玉碧衣,UCHQfwHx3hJDSkXOdAeFRR2A,1,,https://www.youtube.com/channel/UCHQfwHx3hJDSkXOdAeFRR2A
IndieGamesView,UCK-PJPZIfuNYQx--3QcbR5w,1,,https://www.youtube.com/channel/UCK-PJPZIfuNYQx--3QcbR5w
💤 はやみ,UC7h50uOc55OdE6RtAnSd0Rg,1,,https://www.youtube.com/channel/UC7h50uOc55OdE6RtAnSd0Rg
ロエマ Channel,UCkz0INJjUDJZeD5ZvY2p1ag,1,,https://www.youtube.com/channel/UCkz0INJjUDJZeD5ZvY2p1ag
インディーゲーム情報部,UCz9z3PoAUvgcvUhrDIjF9mw,1,,https://www.youtube.com/channel/UCz9z3PoAUvgcvUhrDIjF9mw
さんちゃんく！,UC-Cuw7QXLjJd1lFQzp5AP-w,1,,https://www.youtube.com/channel/UC-Cuw7QXLjJd1lFQzp5AP-w
とりっぴぃ,UCWy0kYBwxxHrCThhUwL_M2w,1,,https://www.youtube.com/channel/UCWy0kYBwxxHrCThhUwL_M2w
やどぎん,UCpOYLHgdj9G4uae5k0hrxQg,1,,https://www.youtube.com/channel/UCpOYLHgdj9G4uae5k0hrxQg
犬うさぎ,UCtfu60_wmQNnLTtRpKPBchA,1,,https://www.youtube.com/channel/UCtfu60_wmQNnLTtRpKPBchA
ありすた,UCptVeXD0HmbxYMw5UeoJHOQ,1,,https://www.youtube.com/channel/UCptVeXD0HmbxYMw5UeoJHOQ
ノスケモノ@ゲーム配信者,UCHsmMQMWcv6bMBCJzHYha7A,1,,https://www.youtube.com/channel/UCHsmMQMWcv6bMBCJzHYha7A
常世ノ闇 TOKOYAMi,UCuq1ynSBN4ROHC1bHJNlrWQ,1,,https://www.youtube.com/channel/UCuq1ynSBN4ROHC1bHJNlrWQ
ぴきねこ - pikineco -,UCCAeWg06DWtjUCvwIa__Enw,1,,https://www.youtube.com/channel/UCCAeWg06DWtjUCvwIa__Enw
ゆるとぴあ【公式】,UCRm8Cnnb4xXe_0h69vMkSwQ,1,,https://www.youtube.com/channel/UCRm8Cnnb4xXe_0h69vMkSwQ
隅川かど,UCiSk-kL8Ni8ryFNgrgxsoWQ,1,,https://www.youtube.com/channel/UCiSk-kL8Ni8ryFNgrgxsoWQ
塚本のべる Novel Tsukamoto,UCGsYwogFsaHmYREWUvXAOCA,1,,https://www.youtube.com/channel/UCGsYwogFsaHmYREWUvXAOCA
見留ふぃーゆ / Mitodome Fiyu,UC7KGdlkchzk_qtOb-dMMONQ,1,,https://www.youtube.com/channel/UC7KGdlkchzk_qtOb-dMMONQ
Shairu.chしゃいる,UCe_8qM8Wk4cU5oD3WO07gZg,1,,https://www.youtube.com/channel/UCe_8qM8Wk4cU5oD3WO07gZg
夢花なず(なす🍆),UC4tnSOIj_Xa7wNnKvQyEywA,1,,https://www.youtube.com/channel/UC4tnSOIj_Xa7wNnKvQyEywA
井中ヲタ,UCo-6Wdon5WBqlp7HOBF0uqw,1,,https://www.youtube.com/channel/UCo-6Wdon5WBqlp7HOBF0uqw
桐山キリル / Kiriru Kiriyama,UCge7BxwW6_JUnaRya1BJmKQ,1,,https://www.youtube.com/channel/UCge7BxwW6_JUnaRya1BJmKQ
ゆっくりアレグレのサブ垢さん,UCy01b_0_tTPjMWcF5As0AQA,1,,https://www.youtube.com/channel/UCy01b_0_tTPjMWcF5As0AQA
ドズル社切り抜きドロップス,UCT_m34QT7_4VjTnoA_f4pUA,1,,https://www.youtube.com/channel/UCT_m34QT7_4VjTnoA_f4pUA
ドンすけ,UCUcTILE2Nk2pR0E24WaDapw,1,,https://www.youtube.com/channel/UCUcTILE2Nk2pR0E24WaDapw
ラピシーヴ,UCyveup5qRK75AkKLg2L3r0g,1,,https://www.youtube.com/channel/UCyveup5qRK75AkKLg2L3r0g
うっほい聖人,UC0CFCqJPJGbihJqo_AQrO2w,1,,https://www.youtube.com/channel/UC0CFCqJPJGbihJqo_AQrO2w
水川きなてん【Ki7TEN】,UCJjlQGdO1IBI7hdcTX9YRWw,1,,https://www.youtube.com/channel/UCJjlQGdO1IBI7hdcTX9YRWw
TAMAchan,UCOb49mOu4z3FTYRkIrFtYMQ,1,,https://www.youtube.com/channel/UCOb49mOu4z3FTYRkIrFtYMQ
Apero あぺろ,UCdxeyf21vGspl1VKojwf9RA,1,,https://www.youtube.com/channel/UCdxeyf21vGspl1VKojwf9RA
ウルフムーン,UCCA_i0asf8XPAMy_kC-cbWg,1,,https://www.youtube.com/channel/UCCA_i0asf8XPAMy_kC-cbWg
landhand,UCk6ggi4blsUEQVSWk_dbuyw,1,,https://www.youtube.com/channel/UCk6ggi4blsUEQVSWk_dbuyw
あるて・あすて,UC8AzTk958WLvtE6-rL2NxOQ,1,,https://www.youtube.com/channel/UC8AzTk958WLvtE6-rL2NxOQ
瀬名いずみ / Sena Izumi,UCEemjb27F2uxUvltfFJ9edQ,1,,https://www.youtube.com/channel/UCEemjb27F2uxUvltfFJ9edQ
Ren Ch. 吹雪蓮,UCQxwZLI0dp0oXUs6V35Pvcw,1,,https://www.youtube.com/channel/UCQxwZLI0dp0oXUs6V35Pvcw
にじホロV【格ゲー切り抜き】,UCGWD6Zr-WeeXd6Hql-qy5hw,1,,https://www.youtube.com/channel/UCGWD6Zr-WeeXd6Hql-qy5hw
☆たくみ様★,UClQSp1pw8RrhwdzNbyJc9IQ,1,,https://www.youtube.com/channel/UClQSp1pw8RrhwdzNbyJc9IQ
エスケー配信者,UCD1rEFFZgT1T6_QN84j4dng,1,,https://www.youtube.com/channel/UCD1rEFFZgT1T6_QN84j4dng
KenKazu【スマブラ】,UCskoMOctrUJu0T1S7GW2Jrw,1,,https://www.youtube.com/channel/UCskoMOctrUJu0T1S7GW2Jrw
みるるぴかまる,UCs1Ce0q_0kTmOL0GbEKekKg,1,,https://www.youtube.com/channel/UCs1Ce0q_0kTmOL0GbEKekKg
えう(Eu) ch,UCl05keJgfBCEWVWTEIfGOBQ,1,,https://www.youtube.com/channel/UCl05keJgfBCEWVWTEIfGOBQ
森です,UCYpe30QCHpKVItOxSvWvjYw,1,,https://www.youtube.com/channel/UCYpe30QCHpKVItOxSvWvjYw
Ria / リア,UCnfv2TrD21rR-nmupJZvAGA,1,,https://www.youtube.com/channel/UCnfv2TrD21rR-nmupJZvAGA
そらびび,UCYyhPzwpGe-CvZgfPmgGgBg,1,,https://www.youtube.com/channel/UCYyhPzwpGe-CvZgfPmgGgBg
りかしぃ切り抜きch,UCp5SwXnh7sf9ahqtmsF3Ncg,1,,https://www.youtube.com/channel/UCp5SwXnh7sf9ahqtmsF3Ncg
ゆっくりちゃん,UCJx4TjKwjH7RJYOUW_FfjWQ,1,,https://www.youtube.com/channel/UCJx4TjKwjH7RJYOUW_FfjWQ
さいくにおchannel,UCYz0VXHKg1iqFZ9KGOLn3tw,1,,https://www.youtube.com/channel/UCYz0VXHKg1iqFZ9KGOLn3tw
こーしろー,UCAqWX895q_ORnoK1lJTqA-A,1,,https://www.youtube.com/channel/UCAqWX895q_ORnoK1lJTqA-A
tako,UC-fOKh6OAve3sU-uyJ5eamg,1,,https://www.youtube.com/channel/UC-fOKh6OAve3sU-uyJ5eamg
あわぴー,UCPBp71pm4eCdQEMbobpu6qg,1,,https://www.youtube.com/channel/UCPBp71pm4eCdQEMbobpu6qg
えるたー,UCcDt9dxEXfnXV6OPnC9Ckqg,1,,https://www.youtube.com/channel/UCcDt9dxEXfnXV6OPnC9Ckqg
