name	channel_id	handle	affiliation
高田健志	UCmMs_sVY5peMzGLQvCOfL5Q		高田村
中野あるま	UCa4UF7FI-86773JqWLJyGqg		高田村
プテラたかはし	UC65uVBk6DQMj-a17jFK0oRg		高田村
めーや	UCnxOr4j-qXPkC7oQXtM18kg		高田村
はたさこ	UCmPOxRiJ6ik3l04cNNt0H0w		高田村
がみ	UC34MzbqPrhWwqzQZTBlLmeg		高田村
うめけん	UC8GLhw4rRT7HCvLzCNd48Nw		高田村
羊飼いK	UCdzSQbtvVyIkuUo9Nj8F8hw		高田村
サントス	UCzaL_RcQ8LBfIFm_O0cqheA		高田村
くどう丸	UCQlapFeHbCFogzZv34WlJrQ		高田村
ls	UClScCi0_cOvV01P5Abn_LKQ		高田村
おまおじ	UCb_rxGYkXMsEJ2ys-Mg-2rQ		高田村
なな湖		nanaco775	高田村
しんたろー		Shintaro_Jinro	高田村
さかな		osakanajinroh	高田村
スナパイ		snapaaai	高田村
HYBRID SENSE		HYBRID_SENSE	高田村
GEN		hagenogendesu	高田村
桃＋		totas0619	高田村
ルーツ	UChZcnf-K-_fgpBWdQNZAh4g		亀戸組
たろちん	UCVo6Q3T0sNzqV_bdYDVkyaw		亀戸組
塩	UCsMHotpUybNI0RGioyCsl1w		亀戸組
まお	UCeRMsla9BVcbC4ArZigLHyg		亀戸組
はるしげ	UCzuYywcbjWk1nCP-_tF7z5g		亀戸組
イボーン	UCVIPahDPEhLnHcesp0LqW6g		亀戸組
加藤	UCXPHRkMSLDWu6TVmzECYblA		亀戸組
しんすけ		eikyu-shihandai	亀戸組
ナポリの男たち		napolimens	たろちん指定
すぎる	UCf8qSt6UzZ2tOtht5iyJlaA		ナポリの男たち
shu3 LIVE		shu3_LIVE	たろちん指定
shu3		shu3san	たろちん指定
蘭たん		lantanch	たろちん指定
なるお		Naruo0419	たろちん指定
カワノ		kawano4057	格ゲー
Fullcon2525		Fullcon2525	たろちん指定
yugenokai		yugenokai	たろちん指定
指定チャンネル1	UC6tZGCKIrKe4OYREY8ytQXQ		追加指定
指定チャンネル2	UC5l8bnxxl26Q5PDG_jawcuw		追加指定
指定チャンネル3	UCZFO75r8iYNI2XPmoFEG6ig		追加指定
指定チャンネル4	UCyFN8ul17Ov5oDr_lsjZODg		追加指定
指定チャンネル5	UCIZzHNbzlIskx3TxGznRyYg		追加指定
まぜ太		maziyaba	追加指定
おらふくん		ORAFKUN	追加指定
おおはらMEN		ooharaMEN	追加指定
ふうはや		fuughaya	追加指定
RTA in Japan		RTAinJapan	イベント
